watch_set frame=1500 id=1
hit=45 frame=1607 cycle=451443973 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B5C old=57793 new=-7743 type=1 width=2
hit=46 frame=1607 cycle=451443984 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B5E old=57793 new=-7743 type=1 width=2
hit=47 frame=1607 cycle=451443995 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B60 old=57793 new=-7743 type=1 width=2
hit=48 frame=1607 cycle=451444006 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B62 old=57793 new=-7743 type=1 width=2
hit=49 frame=1607 cycle=451444017 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B64 old=57793 new=-7743 type=1 width=2
hit=50 frame=1607 cycle=451444028 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B66 old=57793 new=-7743 type=1 width=2
hit=51 frame=1607 cycle=451444039 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B68 old=57793 new=-7743 type=1 width=2
hit=52 frame=1607 cycle=451444050 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B6A old=57793 new=-7743 type=1 width=2
hit=53 frame=1607 cycle=451444061 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B6C old=57793 new=-7743 type=1 width=2
hit=54 frame=1607 cycle=451444072 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B6E old=57793 new=-7743 type=1 width=2
hit=55 frame=1607 cycle=451444083 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B70 old=57793 new=-7743 type=1 width=2
hit=56 frame=1607 cycle=451444094 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B72 old=57793 new=-7743 type=1 width=2
hit=57 frame=1607 cycle=451444105 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B74 old=57793 new=-7743 type=1 width=2
hit=58 frame=1607 cycle=451444116 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B76 old=57793 new=-7743 type=1 width=2
hit=59 frame=1607 cycle=451444127 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B78 old=57793 new=-7743 type=1 width=2
hit=60 frame=1607 cycle=451444138 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B7A old=57812 new=-7724 type=1 width=2
hit=61 frame=1607 cycle=451444302 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B80 old=57805 new=-7731 type=1 width=2
hit=62 frame=1607 cycle=451444313 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B82 old=57793 new=-7743 type=1 width=2
hit=63 frame=1607 cycle=451444324 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B84 old=57793 new=-7743 type=1 width=2
hit=64 frame=1607 cycle=451444335 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B86 old=61697 new=-3791 type=1 width=2
